product_id,product_sitc_code,product_level,product_name,product_name_short,product_parent_id,product_id_hierarchy,show_feasibility
688,0451,4,"Rye, unmilled","Rye, unmilled",104,1.104.688,True
689,0452,4,"Oats, unmilled","Oats, unmilled",104,1.104.689,True
690,0459,4,"Buckwheat, millet, etc, and other cereals, unmilled, nes","Buckwheat, millet, etc, and other cereals, unmilled, nes",104,1.104.690,True
691,0460,4,Meal and flour of wheat and flour of meslin,Meal and flour of wheat and flour of meslin,104,1.104.691,True
692,0470,4,Other cereal meals and flour,Other cereal meals and flour,104,1.104.692,True
693,0481,4,"Cereal grains, worked or prepared, not elsewhere specified","Cereal grains, worked or prepared, not elsewhere specified",104,1.104.693,True
694,0482,4,"Malt, roasted or not, including flour","Malt, roasted or not, including flour",104,1.104.694,True
695,0483,4,"Macaroni, spaghetti and similar products","Macaroni, spaghetti and similar products",104,1.104.695,True
696,0484,4,Bakery products,Bakery products,104,1.104.696,True
697,0488,4,Malt extract; cereals preparations with less 50% of cocoa,Malt extract; cereals preparations with less 50% of cocoa,104,1.104.697,True
698,0541,4,"Potatoes, fresh or chilled, excluding sweet potatoes","Potatoes, fresh or chilled, excluding sweet potatoes",105,1.105.698,True
699,0542,4,"Beans, peas, other leguminous vegetables, dried, shelled","Beans, peas, other leguminous vegetables, dried, shelled",105,1.105.699,True
700,0544,4,"Tomatoes, fresh or chilled","Tomatoes, fresh or chilled",105,1.105.700,True
701,0545,4,Other fresh or chilled vegetables,Other fresh or chilled vegetables,105,1.105.701,True
702,0546,4,"Vegetables, frozen or in temporary preservative","Vegetables, frozen or in temporary preservative",105,1.105.702,True
703,0548,4,"Vegetable products roots and tubers, nes, fresh, dried","Vegetable products roots and tubers, nes, fresh, dried",105,1.105.703,True
704,0561,4,"Vegetables (excluding leguminous), dried, evaporated, etc","Vegetables (excluding leguminous), dried, evaporated, etc",105,1.105.704,True
705,0564,4,"Flour, meals and flakes of potatoes, fruit and vegetables, nes","Flour, meals and flakes of potatoes, fruit and vegetables, nes",105,1.105.705,True
706,0565,4,"Vegetables, prepared or preserved, nes","Vegetables, prepared or preserved, nes",105,1.105.706,True
707,0571,4,"Oranges, mandarins, etc, fresh or dried","Oranges, mandarins, etc, fresh or dried",105,1.105.707,True
708,0572,4,"Other citrus fruits, fresh or dried","Other citrus fruits, fresh or dried",105,1.105.708,True
709,0573,4,"Banana, plantain, fresh or dried","Banana, plantain, fresh or dried",105,1.105.709,True
710,0574,4,"Apples, fresh","Apples, fresh",105,1.105.710,True
711,0575,4,"Grapes, fresh or dried","Grapes, fresh or dried",105,1.105.711,True
712,0576,4,"Figs, fresh or dried","Figs, fresh or dried",105,1.105.712,True
713,0577,4,"Nuts edible, fresh or dried","Nuts edible, fresh or dried",105,1.105.713,True
714,0579,4,"Fruit, fresh or dried, nes","Fruit, fresh or dried, nes",105,1.105.714,True
715,0582,4,"Fruit, fruit-peel and parts of plants, preserved by sugar","Fruit, fruit-peel and parts of plants, preserved by sugar",105,1.105.715,True
716,0583,4,"Jams, jellies, marmalades, etc, as cooked preparations","Jams, jellies, marmalades, etc, as cooked preparations",105,1.105.716,True
717,0585,4,Fruit or vegetable juices,Fruit or vegetable juices,105,1.105.717,True
718,0586,4,"Fruit, temporarily preserved","Fruit, temporarily preserved",105,1.105.718,False
719,0589,4,"Fruit prepared or preserved, nes","Fruit prepared or preserved, nes",105,1.105.719,True
720,0611,4,"Sugars, beet and cane, raw, solid","Sugars, beet and cane, raw, solid",106,1.106.720,True
721,0612,4,Refined sugar etc,Refined sugar etc,106,1.106.721,True
722,0615,4,Molasses,Molasses,106,1.106.722,True
723,0616,4,Natural honey,Natural honey,106,1.106.723,True
724,0619,4,Sugars and syrups nes; artificial honey; caramel,Sugars and syrups nes; artificial honey; caramel,106,1.106.724,True
725,0620,4,"Sugar confectionery and preparations, non-chocolate","Sugar confectionery and preparations, non-chocolate",106,1.106.725,True
726,0711,4,"Coffee green, roasted; coffee substitutes containing coffee","Coffee green, roasted; coffee substitutes containing coffee",107,1.107.726,True
727,0712,4,"Coffee extracts, essences or concentrates","Coffee extracts, essences or concentrates",107,1.107.727,True
728,0721,4,"Cocoa beans, raw, roasted","Cocoa beans, raw, roasted",107,1.107.728,True
