Country,Year,Variable,Unit,Value
Belarus,2017,Carbon Intensity,tonne CO2-eq per Megajoule,59.4297524
Belarus,2017,Energy Consumption per Capita,Gigajoules per capita,104.9540223
Belarus,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,5.876960083
Belarus,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.349266283
Belarus,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,56.04299496
Belarus,2024,Fossil Fuel Consumption,Exajoules,0.977434892
Belarus,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.006639438
Belarus,2024,Carbon Intensity,tonne CO2-eq per Megajoule,48.46394281
Belarus,2024,Energy Consumption per Capita,Gigajoules per capita,127.6829189
Belarus,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,6.191136244
Belarus,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.300046873
Belgium,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,129.6565591
Belgium,1990,Fossil Fuel Consumption,Exajoules,1.7943151
Belgium,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.001792574
Belgium,1990,Carbon Intensity,tonne CO2-eq per Megajoule,57.25786039
Belgium,1990,Energy Consumption per Capita,Gigajoules per capita,227.3305651
Belgium,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,6.57956553
Belgium,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.376731845
Belgium,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,142.1630681
Belgium,2008,Fossil Fuel Consumption,Exajoules,2.301019087
Belgium,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.014176054
Belgium,2008,Carbon Intensity,tonne CO2-eq per Megajoule,50.08631893
Belgium,2008,Energy Consumption per Capita,Gigajoules per capita,265.0269527
Belgium,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,5.57643264
Belgium,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.279302984
Belgium,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,118.9226167
Belgium,2012,Fossil Fuel Consumption,Exajoules,1.957116991
Belgium,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.036530549
Belgium,2012,Carbon Intensity,tonne CO2-eq per Megajoule,47.80671932
Belgium,2012,Energy Consumption per Capita,Gigajoules per capita,223.9538274
Belgium,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,4.748602652
Belgium,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.227015114
Belgium,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,121.2086472
Belgium,2017,Fossil Fuel Consumption,Exajoules,2.007572308
Belgium,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.045715937
Belgium,2017,Carbon Intensity,tonne CO2-eq per Megajoule,46.86255355
Belgium,2017,Energy Consumption per Capita,Gigajoules per capita,227.3505082
Belgium,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,4.64203149
Belgium,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.217537449
Belgium,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,106.7129568
Belgium,2024,Fossil Fuel Consumption,Exajoules,1.763532899
Belgium,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.065324549
Belgium,2024,Carbon Intensity,tonne CO2-eq per Megajoule,47.4083961
Belgium,2024,Energy Consumption per Capita,Gigajoules per capita,191.7518472
Belgium,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,3.591778462
Belgium,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.170280456
Brazil,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,227.0649581
Brazil,1990,Fossil Fuel Consumption,Exajoules,3.093375243
Brazil,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.25227972
Brazil,1990,Carbon Intensity,tonne CO2-eq per Megajoule,54.45577756
Brazil,1990,Energy Consumption per Capita,Gigajoules per capita,27.95777652
Brazil,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,2.77001383
Brazil,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.150843257
Brazil,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,439.1208465
Brazil,2008,Fossil Fuel Consumption,Exajoules,5.924281478
Brazil,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.255338862
Brazil,2008,Carbon Intensity,tonne CO2-eq per Megajoule,53.81178425
Brazil,2008,Energy Consumption per Capita,Gigajoules per capita,42.86613307
Brazil,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,3.144712998
Brazil,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.169222617
Brazil,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,518.579651
Brazil,2012,Fossil Fuel Consumption,Exajoules,7.025508821
