Year,HS2,Value,TotalValue,Share,ShareSquared
2014,44,10849923.057,178182777.159,0.06089209759772773,0.003707847549851199
2014,46,0.6930000000000001,178182777.159,3.889264782205111e-09,1.512638054610097e-17
2014,47,2088265.586,178182777.159,0.0117197948045032,0.0001373535902596602
2014,48,252262.59999999998,178182777.159,0.0014157518701984053,2.0043533579702825e-06
2014,49,84212.397,178182777.159,0.0004726180517708158,2.233678228596415e-07
2014,50,6649.762,178182777.159,3.7319892000931926e-05,1.3927743389612227e-09
2014,51,8850.301,178182777.159,4.9669789309112084e-05,2.467087970011585e-09
2014,52,7.507000000000001,178182777.159,4.213089569987557e-08,1.7750123724737936e-15
2014,53,2343.132,178182777.159,1.3150159837890081e-05,1.7292670376205728e-10
2014,54,666.418,178182777.159,3.7400808912374685e-06,1.3988205072999656e-11
2014,55,311.384,178182777.159,1.7475538599453915e-06,3.053944493410037e-12
2014,56,143.452,178182777.159,8.050834221311509e-07,6.481593165904049e-13
2014,57,513.6510000000001,178182777.159,2.882719689241613e-06,8.310072806741262e-12
2014,58,796.8670000000001,178182777.159,4.472188685716364e-06,2.000047164064946e-11
2014,59,45.321,178182777.159,2.543511820985827e-07,6.469452383494639e-14
2014,60,3.453,178182777.159,1.9378977334710314e-08,3.7554476253921607e-16
2014,61,265.279,178182777.159,1.4888027015275463e-06,2.2165334840757203e-12
2015, T,28334954.57,131877885.882,0.2148575129218646,0.04616375085896922
2015,01,1004782.765,131877885.882,0.007619039069969977,5.8049756349728975e-05
2015,02,85.67699999999999,131877885.882,6.496691953089159e-07,4.2207006333333436e-13
2015,03,2925406.02,131877885.882,0.022182688177285137,0.0004920716547706658
2015,04,18399.837,131877885.882,0.00013952177711177118,1.9466326288426757e-08
2015,05,30441.921000000002,131877885.882,0.00023083415992305512,5.328440938738259e-08
2015,06,253980.77099999998,131877885.882,0.0019258783934954313,3.7090075865325433e-06
2015,07,2153.145,131877885.882,1.6326808589626343e-05,2.665646787222965e-10
2015,08,37038.225,131877885.882,0.00028085243217456935,7.887808865837108e-08
2015,09,823.4639999999999,131877885.882,6.244140133826596e-06,3.8989286010864016e-11
2015,10,44099.873999999996,131877885.882,0.00033439930967242766,1.1182289830939617e-07
2015,11,27563.295,131877885.882,0.0002090061939926966,4.3683589127312725e-08
2015,12,374907.642,131877885.882,0.0028428393395345678,8.081735510405337e-06
2015,14,2009.8110000000001,131877885.882,1.5239939483093572e-05,2.3225575544835437e-10
