t,i,j,k,v,q
2017,156,643,284210,771.244,1680.366
2017,156,643,284290,396.555,338.501
2017,156,643,284329,78.47,0.525
2017,156,643,284390,2475.547,0.066
2017,156,643,284440,46.489,0.021
2017,156,643,284590,66.835,0.003
2017,156,643,284610,248.602,106.194
2017,156,643,284690,2024.557,330.662
2017,156,643,284910,506.271,683.829
2017,156,643,284920,1323.522,1241.611
2017,156,643,284990,2110.53,130.438
2017,156,643,285000,2609.377,194.275
2017,156,643,285390,116.057,24.983
2017,156,643,290110,153.408,42.538
2017,156,643,290124,4.318,0.069
2017,156,643,290129,114.351,30.652
2017,156,643,290219,587.834,183.003
2017,156,643,290220,0.465,0.075
2017,156,643,290241,0.505,0.014
2017,156,643,290260,1.19,0.1
2017,156,643,290270,0.03,0.001
2017,156,643,290290,370.513,150.533
2017,156,643,290311,750.103,533.06
2017,156,643,290312,187.07,276.306
2017,156,643,290319,384.507,283.254
2017,156,643,290322,1868.323,2329.172
2017,156,643,290323,87.003,76.308
2017,156,643,290329,56.296,1.613
2017,156,643,290339,19926.168,5325.475
2017,156,643,290373,3280.755,1144.061
2017,156,643,290377,1569.682,135.188
2017,156,643,290378,96.167,2.278
2017,156,643,290379,1563.945,72.783
2017,156,643,290389,3292.44,200.777
2017,156,643,290391,16.268,16.5
2017,156,643,290399,321.869,139.926
2017,156,643,290410,341.006,209.564
2017,156,643,290420,6.078,0.25
2017,156,643,290499,390.471,89.678
2017,156,643,290512,1361.2,1035.63
2017,156,643,290514,9.895,1.103
2017,156,643,290516,10.515,2.024
2017,156,643,290517,2.106,0.508
2017,156,643,290519,283.762,107.082
2017,156,643,290522,50.113,5.873
2017,156,643,290529,62.187,15.529
2017,156,643,290531,6.147,7.448
2017,156,643,290532,18317.939,15079.51
2017,156,643,290539,372.007,136.726
2017,156,643,290542,290.269,169.007
2017,156,643,290543,402.04,199.721
2017,156,643,290544,2111.508,2269.615
2017,156,643,290545,22.59,18.0
2017,156,643,290549,8352.46,2951.703
2017,156,643,290559,325.979,11.128
2017,156,643,290611,809.013,40.927
2017,156,643,290612,36.297,1.765
2017,156,643,290613,34.478,4.845
2017,156,643,290619,236.241,4.082
2017,156,643,290621,471.925,236.676
2017,156,643,290629,45.297,8.632
2017,156,643,290711,29.621,7.601
2017,156,643,290712,37.289,10.335
2017,156,643,290713,81.926,38.55
2017,156,643,290715,516.674,222.503
2017,156,643,290719,92.627,9.357
2017,156,643,290721,535.751,100.743
2017,156,643,290722,0.109,0.001
2017,156,643,290723,60.0,1.2
2017,156,643,290729,305.22,31.372
2017,156,643,290819,28.087,1.039
2017,156,643,290899,305.228,28.276
2017,156,643,290919,608.775,215.863
2017,156,643,290920,2.97,0.136
2017,156,643,290930,3320.705,912.426
2017,156,643,290941,333.303,103.549
2017,156,643,290943,16.241,2.264
2017,156,643,290944,120.672,60.216
2017,156,643,290949,115.232,29.722
2017,156,643,290950,448.303,23.614
2017,156,643,290960,3383.722,1076.993
2017,156,643,291010,0.54,0.18
2017,156,643,291090,581.677,199.395
2017,156,643,291100,5.092,0.135
2017,156,643,291212,1.936,0.6
2017,156,643,291219,814.047,357.923
2017,156,643,291221,45.592,16.0
2017,156,643,291229,45.091,7.201
2017,156,643,291241,1142.215,131.016
2017,156,643,291242,409.045,31.226
2017,156,643,291249,37.932,2.015
2017,156,643,291250,60.193,25.74
2017,156,643,291260,99.656,128.0
2017,156,643,291300,6.728,1.553
2017,156,643,291412,1489.711,1114.282
2017,156,643,291413,25.119,13.2
2017,156,643,291419,228.676,16.071
2017,156,643,291422,0.151,0.045
2017,156,643,291423,2.717,0.102
2017,156,643,291429,674.877,65.561
2017,156,643,291439,360.316,55.161
2017,156,643,291440,86.45,24.254
2017,156,643,291450,990.439,43.018
2017,156,643,291461,0.505,0.025
2017,156,643,291462,259.456,1.524
2017,156,643,291469,140.231,4.042
2017,156,643,291479,1748.261,82.445
2017,156,643,291511,708.145,1112.254
